V1,V2,weight,V4,V5
VSA,6HL,1.4592,nonspecific,NonSpecific
PD3,6HL,1.515,nonspecific,NonSpecific
VS0,6HL,1.4898,nonspecific,NonSpecific
VRZ,6HL,1.4448,nonspecific,NonSpecific
BK2,6HL,1.6602,nonspecific,NonSpecific
ABJ,6HL,1.5774,nonspecific,NonSpecific
V68,6HL,1.6878,nonspecific,NonSpecific
BK6,6HL,1.6866,nonspecific,NonSpecific
KS5,6HL,1.6038,nonspecific,NonSpecific
BK7,6HL,1.6752,nonspecific,NonSpecific
PP1,6HL,1.5582,nonspecific,NonSpecific
PD5,6HL,1.5546,nonspecific,NonSpecific
UWB,6HL,1.6704,nonspecific,NonSpecific
C88,6HL,1.5972,nonspecific,NonSpecific
VSH,6HL,1.476,nonspecific,NonSpecific
BK4,6HL,1.5486,nonspecific,NonSpecific
I76,6HL,1.5024,nonspecific,NonSpecific
BK5,6HL,1.5432,nonspecific,NonSpecific
UWA,6HL,1.5468,nonspecific,NonSpecific
UW9,6HL,1.6026,nonspecific,NonSpecific
M03,6J9,1.8996,ci-in,AGC
M04,6J9,1.8972,ci-in,AGC
X39,6J9,1.7862,ci-in,AGC
XM1,6J9,1.86,ci-in,AGC
ZYU,6J9,1.5756,ci-in,AGC
M01,6J9,1.6242,ci-in,AGC
M02,6J9,1.6302,ci-in,AGC
QNI,6J9,1.638,ci-in,AGC
JAK,6J9,1.4856,ci-in,AGC
SIJ,6J9,1.6026,ci-in,AGC
6TE,6J9,1.4982,ci-in,AGC
FZ8,6J9,1.5612,ci-in,AGC
7H4,6J9,1.5924,ci-in,AGC
QWI,6J9,1.5378,ci-in,AGC
FZ9,6J9,1.512,ci-in,AGC
XFE,6J9,1.7712,ci-in,AGC
MI1,6J9,1.5636,ci-in,AGC
CQW,6J9,1.545,ci-in,AGC
YM6,6J9,1.5612,ci-in,AGC
YM5,6J9,1.4622,ci-in,AGC
6KC,6JV,2.0886,ci-in,Family_Not_Found
6KD,6JV,2.1102,ci-in,Family_Not_Found
6V5,6JV,1.5504,ci-in,Family_Not_Found
R78,6JV,1.4928,ci-in,Family_Not_Found
6V4,6JV,1.4934,ci-in,Family_Not_Found
R4L,6JV,1.4826,ci-in,Family_Not_Found
SVE,6JV,1.446,ci-in,Family_Not_Found
6KD,6KC,2.1414,ci-in,Family_Not_Found
6V5,6KC,1.635,ci-in,Family_Not_Found
6V4,6KC,1.5792,ci-in,Family_Not_Found
R4L,6KC,1.4964,ci-in,Family_Not_Found
6V5,6KD,1.6812,ci-in,Family_Not_Found
6V4,6KD,1.6398,ci-in,Family_Not_Found
R4L,6KD,1.4652,ci-in,Family_Not_Found
ARX,6L5,2.5872,nonspecific,NonSpecific
A02,6L5,2.5092,nonspecific,NonSpecific
A03,6L5,2.4996,nonspecific,NonSpecific
ADN,6L5,1.9788,nonspecific,NonSpecific
A,6L5,1.845,nonspecific,NonSpecific
AMP,6L5,1.845,nonspecific,NonSpecific
ADP,6L5,1.8294,nonspecific,NonSpecific
AN2,6L5,1.8084,nonspecific,NonSpecific
ATP,6L5,1.8174,nonspecific,NonSpecific
A0P,6L5,1.7862,nonspecific,NonSpecific
ANK,6L5,1.7862,nonspecific,NonSpecific
ANP,6L5,1.7862,nonspecific,NonSpecific
AGS,6L5,1.7838,nonspecific,NonSpecific
M33,6L5,1.8036,nonspecific,NonSpecific
ACP,6L5,1.7838,nonspecific,NonSpecific
ACK,6L5,1.7508,nonspecific,NonSpecific
GUB,6L5,1.8246,nonspecific,NonSpecific
SGV,6L5,1.6452,nonspecific,NonSpecific
NBS,6L5,1.683,nonspecific,NonSpecific
GDP,6L5,1.5762,nonspecific,NonSpecific
GNP,6L5,1.551,nonspecific,NonSpecific
GTP,6L5,1.5702,nonspecific,NonSpecific
GR9,6LQ,1.8666,ci-in,CMGC
KDI,6LQ,1.6752,ci-in,CMGC
7YG,6LQ,1.5312,ci-in,CMGC
6NC,6N9,2.49,co-in,TKL
6NB,6N9,2.433,co-in,TKL
904,6N9,2.0544,co-in,TKL
B0R,6N9,1.6134,co-in,TKL
DFS,6N9,1.476,co-in,TKL
6NC,6NB,2.2614,nonspecific,NonSpecific
904,6NB,2.0844,nonspecific,NonSpecific
DFS,6NB,1.6212,nonspecific,NonSpecific
B0R,6NB,1.6896,nonspecific,NonSpecific
TV4,6NB,1.5192,nonspecific,NonSpecific
RI8,6NB,1.4568,nonspecific,NonSpecific
T1Q,6NB,1.5198,nonspecific,NonSpecific
904,6NC,1.9692,co-in,TKL
B0R,6NC,1.5162,co-in,TKL
DFS,6NC,1.4436,co-in,TKL
MWL,6NP,1.8792,ci-in,CMGC
LM4,6NP,1.7598,ci-in,CMGC
LM3,6NP,1.557,ci-in,CMGC
7CP,6OJ,1.8792,ci-in,Family_Not_Found
MB9,6OJ,1.695,ci-in,Family_Not_Found
V25,6OJ,1.4748,ci-in,Family_Not_Found
6P8,6P6,2.187,omega,TK
RBS,6P6,1.8528,omega,TK
DTQ,6P6,1.5834,omega,TK
YUN,6P6,1.6386,omega,TK
DJK,6P6,1.6182,omega,TK
MSQ,6P6,1.509,omega,TK
SR2,6P6,1.4904,omega,TK
E1B,6P6,1.479,omega,TK
6U7,6P6,1.449,omega,TK
855,6P6,1.503,omega,TK
CWS,6P6,1.4916,omega,TK
RBS,6P8,2.1714,omega,TK
YUN,6P8,1.8978,omega,TK
DJK,6P8,1.8888,omega,TK
DTQ,6P8,1.5732,omega,TK
SR2,6P8,1.716,omega,TK
MSQ,6P8,1.461,omega,TK
G97,6P8,1.5918,omega,TK
855,6P8,1.4364,omega,TK
AUG,6PB,1.8258,ci-in,Family_Not_Found
AUE,6PB,1.4976,ci-in,Family_Not_Found
GVJ,6PB,1.491,ci-in,Family_Not_Found
GVI,6PB,1.4862,ci-in,Family_Not_Found
P1E,6Q4,1.6596,ci-in,Family_Not_Found
I19,6Q4,1.4832,ci-in,Family_Not_Found
SJJ,6QH,1.7214,ci-in,CMGC
IRG,6RG,2.2164,nonspecific,NonSpecific
Q17,6RG,1.8222,nonspecific,NonSpecific
QPP,6RG,1.4376,nonspecific,NonSpecific
G97,6RG,1.4412,nonspecific,NonSpecific
B4W,6RG,1.4742,nonspecific,NonSpecific
SCJ,6SC,2.718,co-in,CMGC
SCZ,6SC,2.1048,co-in,CMGC
SCQ,6SC,1.8612,co-in,CMGC
SCF,6SC,2.1066,co-in,CMGC
SC8,6SC,2.0238,co-in,CMGC
SCX,6SC,1.788,co-in,CMGC
NS9,6SC,1.4556,co-in,CMGC
SCW,6SC,1.4316,co-in,CMGC
OCG,6SH,1.5456,ci-out,Family_Not_Found
MI1,6TE,1.494,ci-in,TK
C72,6TP,1.5768,ci-in,TK
CQ3,6TS,1.7472,ci-in,CMGC
6TT,6TS,1.5396,ci-in,CMGC
CQ3,6TT,1.5738,ci-in,CMGC
DTQ,6U7,2.1042,co-in,TKL
MSQ,6U7,2.034,co-in,TKL
AQ4,6U7,1.8342,co-in,TKL
HPM,6U7,1.5312,co-in,TKL
7X1,6U7,1.4952,co-in,TKL
AQZ,6U7,1.5198,co-in,TKL
6UJ,6UE,1.9908,ci-out,TK
6UM,6UE,1.9176,ci-out,TK
6UK,6UE,1.8702,ci-out,TK
6UK,6UH,1.8786,ci-out,TK
R09,6UI,1.446,omega,STE
6UM,6UJ,2.277,ci-out,TK
6UK,6UJ,1.8516,ci-out,TK
6UM,6UK,1.8642,ci-out,TK
H4K,6UM,1.4526,ci-out,TK
NG2,6V3,1.5168,ci-out,Family_Not_Found
6V5,6V4,2.637,ci-out,Family_Not_Found
R4L,6V4,1.4922,ci-out,Family_Not_Found
R4L,6V5,1.497,co-in,Family_Not_Found
F47,6XE,2.2926,co-in,TK
W9Z,6XE,1.4898,co-in,TK
LKG,6XE,1.4388,co-in,TK
LHJ,6XL,1.4316,co-in,TK
OFG,6YL,1.812,ci-in,TK
AWF,6YL,1.6662,ci-in,TK
AWJ,6YL,1.533,ci-in,TK
GWH,6YL,1.5282,ci-in,TK
YPW,6YL,1.6596,ci-in,TK
JUP,6YL,1.497,ci-in,TK
VGH,6YL,1.5594,ci-in,TK
IV7,6YL,1.8318,ci-in,TK
J99,6YL,1.7112,ci-in,TK
QBB,6Z7,1.7778,ci-in,CAMK
NF5,6Z7,1.6032,ci-in,CAMK
6ZG,6ZF,1.86,ci-in,TK
I19,6ZV,1.5756,co-in,CMGC
LQQ,6ZZ,2.0298,co-in,CMGC
AU5,6ZZ,1.4484,co-in,CMGC
8C5,6ZZ,1.4496,co-in,CMGC
P48,6ZZ,1.4364,co-in,CMGC
8ST,706,1.5552,ci-out,TK
937,71,2.4618,ci-in,Other
MH4,71,2.2134,ci-in,Other
P49,71,1.98,ci-in,Other
P48,71,2.076,ci-in,Other
939,71,1.7988,ci-in,Other
SVE,71,2.0268,ci-in,Other
92M,71,1.5306,ci-in,Other
BJG,71,1.5684,ci-in,Other
GS3,71,1.542,ci-in,Other
CKG,71,1.7538,ci-in,Other
AU5,71,1.4676,ci-in,Other
R4L,71,1.5672,ci-in,Other
R78,71,1.5264,ci-in,Other
T6Q,71,1.461,ci-in,Other
VG8,71,1.479,ci-in,Other
AM9,71,1.464,ci-in,Other
L1G,71,1.5804,ci-in,Other
IXH,71,1.4628,ci-in,Other
9ZP,71,1.4544,ci-in,Other
KQQ,71,1.506,ci-in,Other
L2G,71,1.5318,ci-in,Other
YY3,71,1.4736,ci-in,Other
L3G,71,1.4868,ci-in,Other
C0M,738,1.6746,ci-in,CMGC
AXX,738,1.5438,ci-in,CMGC
IDK,740,1.4616,co-in,CMGC
XZN,741,2.0616,ci-in,TK
DB8,741,1.956,ci-in,TK
HKI,741,1.704,ci-in,TK
7X1,741,1.458,ci-in,TK
MR9,746,1.455,co-in,Family_Not_Found
P39,746,1.4364,co-in,Family_Not_Found
MT3,75H,1.482,nonspecific,NonSpecific
88Z,75H,1.4586,nonspecific,NonSpecific
MT4,75H,1.4598,nonspecific,NonSpecific
FPW,75H,1.482,nonspecific,NonSpecific
L1X,75H,1.5702,nonspecific,NonSpecific
919,75H,1.488,nonspecific,NonSpecific
SQ9,75X,2.2968,ci-in,CMGC
G6T,75X,2.0382,ci-in,CMGC
CMG,75X,1.761,ci-in,CMGC
N69,75X,1.7112,ci-in,CMGC
JYM,75X,1.6626,ci-in,CMGC
NW1,75X,1.4964,ci-in,CMGC
7GJ,75X,1.6152,ci-in,CMGC
N20,75X,1.6758,ci-in,CMGC
N76,75X,1.4742,ci-in,CMGC
NU6,75X,1.6248,ci-in,CMGC
N41,75X,1.6104,ci-in,CMGC
MBP,75X,1.482,ci-in,CMGC
UN4,75X,1.4532,ci-in,CMGC
A58,76A,2.0496,ci-in,CAMK
H9K,76A,1.8852,ci-in,CAMK
H8K,76A,1.9296,ci-in,CAMK
H0K,76A,1.7676,ci-in,CAMK
H7K,76A,1.7616,ci-in,CAMK
HK1,76A,1.6554,ci-in,CAMK
HKC,76A,1.5198,ci-in,CAMK
LIG,76A,1.4532,ci-in,CAMK
H1K,77A,1.7658,ci-in,CAMK
A42,77A,1.6416,ci-in,CAMK
H2K,77A,1.5858,ci-in,CAMK
A25,77A,1.6188,ci-in,CAMK
YDJ,77D,1.4772,co-in,STE
SAV,77V,1.5048,ci-in,TK
IHH,77V,1.4406,ci-in,TK
R9P,79O,2.2122,ci-in,CAMK
HY7,79O,1.7508,ci-in,CAMK
WUL,79O,1.6836,ci-in,CAMK
79T,79R,2.742,ci-in,TK
79S,79R,2.3724,ci-in,TK
JAK,79R,1.509,ci-in,TK
79T,79S,2.172,ci-in,TK
JAK,79S,1.5096,ci-in,TK
C5I,79S,1.437,ci-in,TK
JAK,79T,1.5618,nonspecific,NonSpecific
C5I,79T,1.452,nonspecific,NonSpecific
X20,7CE,1.4658,ci-in,Other
MB9,7CP,2.3334,ci-in,CAMK
V25,7CP,1.5012,ci-in,CAMK
92P,7CS,1.9386,ci-in,CAMK
YAM,7FM,1.8234,omega,TK
NU6,7GJ,2.3568,co-in,Other
N76,7GJ,1.8708,co-in,Other
N41,7GJ,2.1252,co-in,Other
N20,7GJ,1.9842,co-in,Other
ST8,7GJ,1.5102,co-in,Other
NU5,7GJ,1.6902,co-in,Other
CMG,7GJ,1.7016,co-in,Other
G6T,7GJ,1.4874,co-in,Other
SQ9,7GJ,1.4592,co-in,Other
MBP,7GJ,1.5612,co-in,Other
JYM,7GJ,1.5132,co-in,Other
N69,7GJ,1.587,co-in,Other
UN4,7GJ,1.4532,co-in,Other
MI1,7H4,1.9062,ci-in,TK
XM1,7H4,1.5168,ci-in,TK
NL4,7HD,2.211,ci-in,Other
YM4,7HD,1.509,ci-in,Other
VEK,7HD,1.5048,ci-in,Other
FH3,7HD,1.5168,ci-in,Other
FH5,7HD,1.5258,ci-in,Other
HK8,7HK,1.9956,ci-in,CAMK
HK9,7HK,1.5432,ci-in,CAMK
HK7,7HK,1.485,ci-in,CAMK
HK6,7HK,1.542,ci-in,CAMK
P5C,7KF,2.0472,ci-in,TK
7KG,7KF,1.5138,ci-in,TK
S19,7KF,1.6236,ci-in,TK
KZM,7KF,1.5048,ci-in,TK
PY1,7KW,1.434,ci-in,TK
I46,7KW,1.506,ci-in,TK
GG5,7KW,1.4976,ci-in,TK
FPX,7MP,1.8438,ci-out,TK
G17,7MP,1.4712,ci-out,TK
C52,7MP,1.4904,ci-out,TK
G6I,7MP,1.461,ci-out,TK
G6H,7MP,1.434,ci-out,TK
NIL,7MP,1.482,ci-out,TK
Q7M,7MP,1.4328,ci-out,TK
B91,7MP,1.4454,ci-out,TK
PE4,7PE,3,ci-in,Other
P4G,7PE,2.487,ci-in,Other
P6G,7PE,2.5104,ci-in,Other
PG4,7PE,2.5104,ci-in,Other
PGE,7PE,2.5104,ci-in,Other
PEG,7PE,2.1234,ci-in,Other
PEU,7PE,2.4312,ci-in,Other
PG0,7PE,2.361,ci-in,Other
P4C,7PE,1.9716,ci-in,Other
MXE,7PE,1.5042,ci-in,Other
994,7PY,1.5924,ci-in,TK
T2A,7PY,1.6122,ci-in,TK
7X3,7PY,1.548,ci-in,TK
AM0,7PY,1.6782,ci-in,TK
SAV,7PY,1.4616,ci-in,TK
KIM,7PY,1.4832,ci-in,TK
QIV,7QQ,2.4564,ci-in,CMGC
ZC3,7QQ,2.127,ci-in,CMGC
Y3L,7QQ,2.0034,ci-in,CMGC
X21,7RO,2.4648,ci-in,Other
X20,7RO,2.3982,ci-in,Other
PWU,7RO,2.0424,ci-in,Other
H8H,7X1,2.1216,ci-in,TK
AQZ,7X1,1.7286,ci-in,TK
XZN,7X1,1.6422,ci-in,TK
DB8,7X1,1.6938,ci-in,TK
7X2,7X1,1.7124,ci-in,TK
HPM,7X1,1.7166,ci-in,TK
DTQ,7X1,1.59,ci-in,TK
MSQ,7X1,1.497,ci-in,TK
IRE,7X1,1.5456,ci-in,TK
AQ4,7X1,1.5954,ci-in,TK
7X7,7X1,1.659,ci-in,TK
7X5,7X1,1.4772,ci-in,TK
7X6,7X1,1.4874,ci-in,TK
7X8,7X1,1.5012,ci-in,TK
7X5,7X2,2.1414,ci-in,TK
7X6,7X2,2.1594,ci-in,TK
7X4,7X2,2.0742,ci-in,TK
7X8,7X2,2.1804,ci-in,TK
7X7,7X2,2.0946,ci-in,TK
SAV,7X2,1.6656,ci-in,TK
7X3,7X2,1.7214,ci-in,TK
KIM,7X2,1.5,ci-in,TK
FAL,7X2,1.4688,ci-in,TK
FBL,7X2,1.4688,ci-in,TK
H8H,7X2,1.5582,ci-in,TK
994,7X3,1.773,ci-in,TK
AM0,7X3,1.6404,ci-in,TK
SAV,7X3,1.6806,ci-in,TK
T2A,7X3,1.47,ci-in,TK
KIM,7X3,1.5468,ci-in,TK
G6H,7X3,1.527,ci-in,TK
ZZG,7X3,1.4316,ci-in,TK
7X5,7X4,2.6154,ci-in,TK
7X6,7X4,2.4072,ci-in,TK
7X8,7X4,2.205,ci-in,TK
7X7,7X4,2.0658,ci-in,TK
7X6,7X5,2.4528,ci-in,TK
7X8,7X5,2.1564,ci-in,TK
7X7,7X5,2.0772,ci-in,TK
X9F,7X5,1.6374,ci-in,TK
7X8,7X6,2.1894,ci-in,TK
7X7,7X6,2.1258,ci-in,TK
7X8,7X7,2.1666,ci-in,TK
H8H,7X7,1.6296,ci-in,TK
BI9,7X7,1.5258,ci-in,TK
NHJ,7X8,1.605,ci-in,TK
859,7X8,1.5666,ci-in,TK
NHU,7X8,1.4316,ci-in,TK
ZUQ,7X8,1.5462,ci-in,TK
GR9,7YG,2.4036,nonspecific,CMGC
KDI,7YG,1.8804,nonspecific,CMGC
I1P,7YG,1.452,nonspecific,CMGC
EK6,82A,2.1864,ci-in,CMGC
E57,82A,1.7928,ci-in,CMGC
EK4,82A,2.1084,ci-in,CMGC
EK9,82A,1.7574,ci-in,CMGC
E86,82A,1.7496,ci-in,CMGC
Z48,82A,1.6692,ci-in,CMGC
EK5,82A,1.7778,ci-in,CMGC
EK2,82A,1.5882,ci-in,CMGC
E28,82A,1.5042,ci-in,CMGC
N53,82B,1.7934,ci-in,CAMK
889,82B,1.5312,ci-in,CAMK
FPX,831,1.5222,ci-out,TKL
VGK,844,1.5714,ci-in,TKL
BX1,844,1.5168,ci-in,TKL
A3F,844,1.5732,ci-in,TKL
LI9,84,1.7556,ci-in,CMGC
880,84,1.9224,ci-in,CMGC
984,84,1.812,ci-in,CMGC
SB4,84,1.5882,ci-in,CMGC
QIG,855,2.2746,ci-in,TKL
QPP,855,1.6806,ci-in,TKL
NHU,859,2.403,ci-in,CMGC
NHJ,859,1.8132,ci-in,CMGC
NHI,859,1.6326,ci-in,CMGC
CC3,859,1.4376,ci-in,CMGC
S91,859,1.548,ci-in,CMGC
A25,85A,1.932,ci-in,CAMK
H2K,85A,1.4874,ci-in,CAMK
ZZK,85,1.5822,ci-in,TKL
O22,877,1.6992,ci-in,CMGC
984,880,2.6298,ci-in,CMGC
LI9,880,1.4748,ci-in,CMGC
SB4,880,1.6698,ci-in,CMGC
SB5,880,1.4904,ci-in,CMGC
PFO,880,1.4892,ci-in,CMGC
900,887,2.2296,ci-in,TK
LEV,887,1.743,ci-in,TK
FPU,887,1.707,ci-in,TK
FPW,887,1.539,ci-in,TK
DF6,887,1.6926,ci-in,TK
AV9,887,1.4856,ci-in,TK
N53,889,1.6164,ci-in,CMGC
A0H,88A,1.4508,ci-in,TK
IPV,88A,1.4346,ci-in,TK
AS6,88A,1.4346,ci-in,TK
AM7,88Z,1.8396,co-out,TK
MT4,88Z,1.5834,co-out,TK
DWF,88Z,1.5642,co-out,TK
AQZ,88Z,1.5318,co-out,TK
IRE,88Z,1.5216,co-out,TK
MT3,88Z,1.4796,co-out,TK
DF6,88Z,1.4538,co-out,TK
GV0,88Z,1.5282,co-out,TK
900,88Z,1.4328,co-out,TK
FLS,891,3,ci-in,CMGC
FLY,891,2.4534,ci-in,CMGC
FMK,891,2.2992,ci-in,CMGC
FLW,891,2.3166,ci-in,CMGC
FML,891,1.575,ci-in,CMGC
XI2,891,1.575,ci-in,CMGC
FLZ,891,1.8366,ci-in,CMGC
T1Q,891,1.554,ci-in,CMGC
NVV,8BQ,2.5704,ci-in,AGC
NVX,8BQ,2.5872,ci-in,AGC
S3N,8BQ,2.4498,ci-in,AGC
IXH,8C5,1.6386,ci-out,TK
LQQ,8C5,1.647,ci-out,TK
AU5,8C5,1.485,ci-out,TK
R4L,8C5,1.431,ci-out,TK
8I1,8H1,3,ci-in,AGC
SS3,8H1,1.5756,ci-in,AGC
SS4,8H1,1.4412,ci-in,AGC
9BD,8H1,1.5186,ci-in,AGC
L20,8H1,1.4532,ci-in,AGC
SS3,8I1,1.5756,ci-in,AGC
SS4,8I1,1.4412,ci-in,AGC
9BD,8I1,1.5186,ci-in,AGC
L20,8I1,1.4532,ci-in,AGC
X76,8ST,1.9122,ci-out,TK
GIN,8ST,1.6218,ci-out,TK
DF6,900,1.7712,ci-out,TK
FPW,900,1.6848,ci-out,TK
AV9,900,1.6542,ci-out,TK
LEV,900,1.6602,ci-out,TK
FPU,900,1.5882,ci-out,TK
MT4,900,1.4616,ci-out,TK
IPW,904,1.4748,co-in,TKL
B0R,904,1.4628,co-in,TKL
P02,904,1.4352,co-in,TKL
R49,919,1.7628,ci-out,TK
L51,919,1.7478,ci-out,TK
BAX,919,1.4532,ci-out,TK
Z87,919,1.6044,ci-out,TK
N61,919,1.5498,ci-out,TK
KAO,919,1.6794,ci-out,TK
B96,919,1.7028,ci-out,TK
R39,919,1.6854,ci-out,TK
DG7,919,1.5666,ci-out,TK
Z83,919,1.5792,ci-out,TK
R48,919,1.6602,ci-out,TK
SS6,919,1.6542,ci-out,TK
Z85,919,1.5414,ci-out,TK
AQU,919,1.6668,ci-out,TK
9DP,919,1.6404,ci-out,TK
Z84,919,1.557,ci-out,TK
Z86,919,1.5222,ci-out,TK
K9Y,919,1.611,ci-out,TK
AQB,919,1.5672,ci-out,TK
AQM,919,1.5492,ci-out,TK
YIW,919,1.4634,ci-out,TK
YIS,919,1.476,ci-out,TK
YIY,919,1.473,ci-out,TK
ZTX,92M,1.7634,ci-in,Other
R78,92M,1.9242,ci-in,Other
R4L,92M,1.7754,ci-in,Other
GUI,92M,1.5516,ci-in,Other
BI9,92M,1.5822,ci-in,Other
AU5,92M,1.5528,ci-in,Other
VG8,92M,1.5708,ci-in,Other
KGW,92M,1.4982,ci-in,Other
9ZP,92M,1.6578,ci-in,Other
S22,92M,1.4688,ci-in,Other
IBI,92M,1.7724,ci-in,Other
GS3,92M,1.545,ci-in,Other
C4F,92P,1.5738,co-in,STE
939,937,1.8834,ci-in,Other
SVE,937,2.0682,ci-in,Other
MH4,937,2.0148,ci-in,Other
P49,937,1.77,ci-in,Other
P48,937,1.8924,ci-in,Other
CKG,937,1.7916,ci-in,Other
BJG,937,1.4886,ci-in,Other
GS3,937,1.4424,ci-in,Other
R4L,937,1.4772,ci-in,Other
R78,937,1.434,ci-in,Other
L1G,937,1.4658,ci-in,Other
KQQ,937,1.4658,ci-in,Other
L3G,937,1.4424,ci-in,Other
BJG,939,1.8498,ci-in,Other
IM9,939,1.4664,ci-in,Other
GS3,939,1.4934,ci-in,Other
SVE,939,1.5318,ci-in,Other
MR9,939,1.4634,ci-in,Other
DYK,939,1.4604,ci-in,Other
YY3,939,1.53,ci-in,Other
MH4,939,1.461,ci-in,Other
P48,939,1.4604,ci-in,Other
DQO,94,1.7442,ci-in,CMGC
B45,94,1.6146,ci-in,CMGC
VVQ,953,2.244,ci-in,TK
BJG,953,1.4886,ci-in,TK
PFQ,979,2.355,ci-in,TK
DFW,979,2.2002,ci-in,TK
AKI,979,2.1402,ci-in,TK
KJQ,979,2.0328,ci-in,TK
PFP,979,2.0748,ci-in,TK
DFY,979,2.0364,ci-in,TK
DFZ,979,1.4514,ci-in,TK
KJR,979,1.8414,ci-in,TK
KJV,979,1.8348,ci-in,TK
KJ8,979,1.824,ci-in,TK
YPH,979,1.572,ci-in,TK
WPH,979,1.4616,ci-in,TK
LIF,979,1.5036,ci-in,TK
ZZL,97B,2.3826,omega,Other
A5B,97B,2.0388,omega,Other
I19,97B,1.5792,omega,Other
BJG,97B,1.6014,omega,Other
P48,97B,1.5024,omega,Other
MH4,97B,1.4664,omega,Other
R4L,97B,1.482,omega,Other
SVE,97B,1.4316,omega,Other
BJG,984,1.44,ci-in,CMGC
SB5,984,1.5204,ci-in,CMGC
SB4,984,1.5402,ci-in,CMGC
PFO,984,1.524,ci-in,CMGC
XJ1,985,1.8318,ci-in,CAMK
WI2,985,1.4322,ci-in,CAMK
G6H,994,2.0064,ci-in,TK
AM0,994,1.6644,ci-in,TK
G6I,994,1.7418,ci-in,TK
G6G,994,1.6272,ci-in,TK
T2A,994,1.476,ci-in,TK
SAV,994,1.5036,ci-in,TK
ZZG,994,1.5036,ci-in,TK
KIM,994,1.4448,ci-in,TK
X44,99Z,2.4744,co-in,CMGC
X40,99Z,2.3136,co-in,CMGC
X42,99Z,2.3322,co-in,CMGC
Z67,99Z,1.8954,co-in,CMGC
Z71,99Z,1.8798,co-in,CMGC
X6B,99Z,1.8798,co-in,CMGC
X36,99Z,1.9566,co-in,CMGC
X46,99Z,1.806,co-in,CMGC
X3A,99Z,1.7886,co-in,CMGC
U32,99Z,1.6476,co-in,CMGC
ZYS,99Z,1.5402,co-in,CMGC
X02,99Z,1.4622,co-in,CMGC
Z87,9DP,1.5804,ci-out,TK
KAO,9DP,1.6698,ci-out,TK
Z83,9DP,1.623,ci-out,TK
R49,9DP,1.6716,ci-out,TK
B96,9DP,1.653,ci-out,TK
L51,9DP,1.6332,ci-out,TK
AQU,9DP,1.6128,ci-out,TK
K9Y,9DP,1.6116,ci-out,TK
R48,9DP,1.6176,ci-out,TK
SS6,9DP,1.6356,ci-out,TK
Z85,9DP,1.5564,ci-out,TK
R39,9DP,1.6218,ci-out,TK
EDD,9DP,1.5558,ci-out,TK
Z86,9DP,1.5822,ci-out,TK
AQM,9DP,1.5738,ci-out,TK
AQB,9DP,1.5708,ci-out,TK
DG7,9DP,1.5228,ci-out,TK
YIW,9DP,1.539,ci-out,TK
Z84,9DP,1.53,ci-out,TK
YIS,9DP,1.557,ci-out,TK
AM5,9NH,1.7034,ci-in,TK
AM6,9NH,1.6866,ci-in,TK
T95,9NH,1.7094,ci-in,TK
FPX,9NH,1.4322,ci-in,TK
NIL,9NH,1.446,ci-in,TK
MR9,9NH,1.5018,ci-in,TK
R78,9ZP,2.1576,ci-in,Other
IBI,9ZP,1.9692,ci-in,Other
R4L,9ZP,1.716,ci-in,Other
SVE,9ZP,1.6398,ci-in,Other
VG8,9ZP,1.4472,ci-in,Other
ARX,A02,2.8896,nonspecific,NonSpecific
A03,A02,2.811,nonspecific,NonSpecific
ADN,A02,1.8426,nonspecific,NonSpecific
A,A02,1.7592,nonspecific,NonSpecific
AMP,A02,1.7592,nonspecific,NonSpecific
ADP,A02,1.7508,nonspecific,NonSpecific
A0P,A02,1.7118,nonspecific,NonSpecific
AN2,A02,1.7328,nonspecific,NonSpecific
ANK,A02,1.7118,nonspecific,NonSpecific
ANP,A02,1.7118,nonspecific,NonSpecific
ATP,A02,1.7352,nonspecific,NonSpecific
AGS,A02,1.7064,nonspecific,NonSpecific
M33,A02,1.7118,nonspecific,NonSpecific
ACP,A02,1.7196,nonspecific,NonSpecific
ACK,A02,1.6668,nonspecific,NonSpecific
GUB,A02,1.7364,nonspecific,NonSpecific
SGV,A02,1.5534,nonspecific,NonSpecific
NBS,A02,1.6416,nonspecific,NonSpecific
GNP,A02,1.524,nonspecific,NonSpecific
GDP,A02,1.5504,nonspecific,NonSpecific
GTP,A02,1.5408,nonspecific,NonSpecific
ARX,A03,2.8782,ci-in,AGC
ADN,A03,1.8336,ci-in,AGC
A,A03,1.7514,ci-in,AGC
AMP,A03,1.7514,ci-in,AGC
M33,A03,1.7316,ci-in,AGC
ADP,A03,1.743,ci-in,AGC
A0P,A03,1.7052,ci-in,AGC
AN2,A03,1.7256,ci-in,AGC
ANK,A03,1.7052,ci-in,AGC
ANP,A03,1.7052,ci-in,AGC
ATP,A03,1.7274,ci-in,AGC
AGS,A03,1.6992,ci-in,AGC
ACP,A03,1.7112,ci-in,AGC
ACK,A03,1.6584,ci-in,AGC
GUB,A03,1.7244,ci-in,AGC
SGV,A03,1.542,ci-in,AGC
NBS,A03,1.6344,ci-in,AGC
GNP,A03,1.515,ci-in,AGC
GDP,A03,1.5408,ci-in,AGC
GTP,A03,1.5312,ci-in,AGC
AZ7,A06,2.4984,ci-in,AGC
A27,A07,2.2356,co-in,CMGC
A28,A07,2.0916,co-in,CMGC
OFI,A07,1.9506,co-in,CMGC
D15,A07,1.458,co-in,CMGC
